FromName,ToName,ParentName,Include,Description,DataType,DataLength,TableName,SortOrder,TableIncluded,,
Time.Description,Description,,TRUE,,TEXT,500,Time,136,FALSE,,
Measurement,Measurement,,FALSE,,,,Measurement,137,FALSE,,
Measurement.MeasurementId,MeasurementId,,TRUE,,GUID,,Measurement,138,FALSE,,
Measurement.Name,Name,,TRUE,,TEXT,50,Measurement,139,FALSE,,
Measurement.Description,Description,,TRUE,,TEXT,500,Measurement,140,FALSE,,
Speed,Speed,,FALSE,,,,Speed,161,FALSE,,
Speed.SpeedId,SpeedId,,TRUE,,GUID,,Speed,162,FALSE,,
Speed.Name,Name,,TRUE,,TEXT,50,Speed,163,FALSE,,
Speed.Description,Description,,TRUE,,TEXT,500,Speed,164,FALSE,,
Length,Length,,FALSE,,,,Length,169,FALSE,,
Length.LengthId,LengthId,,TRUE,,GUID,,Length,170,FALSE,,
Length.Name,Name,,TRUE,,TEXT,50,Length,171,FALSE,,
Length.Description,Description,,TRUE,,TEXT,500,Length,172,FALSE,,
Occurrence,Occurrence,,FALSE,,,,Occurrence,177,FALSE,,
Occurrence.OccurrenceId,OccurrenceId,,TRUE,,GUID,,Occurrence,178,FALSE,,
Occurrence.Name,Name,,TRUE,,TEXT,50,Occurrence,179,FALSE,,
Occurrence.Description,Description,,TRUE,,TEXT,500,Occurrence,180,FALSE,,
E,E,,FALSE,,,,E,181,FALSE,,
E.EId,EId,,TRUE,,GUID,,E,182,FALSE,,
E.Name,Name,,TRUE,,TEXT,50,E,183,FALSE,,
E.Description,Description,,TRUE,,TEXT,500,E,184,FALSE,,
Knowledge,Knowledge,,FALSE,,,,Knowledge,185,FALSE,,
Knowledge.KnowledgeId,KnowledgeId,,TRUE,,GUID,,Knowledge,186,FALSE,,
Knowledge.Name,Name,,TRUE,,TEXT,50,Knowledge,187,FALSE,,
Knowledge.Description,Description,,TRUE,,TEXT,500,Knowledge,188,FALSE,,
Licensing,Licensing,,FALSE,,,,Licensing,193,FALSE,,
Licensing.LicensingId,LicensingId,,TRUE,,GUID,,Licensing,194,FALSE,,
Licensing.Name,Name,,TRUE,,TEXT,50,Licensing,195,FALSE,,
Licensing.Description,Description,,TRUE,,TEXT,500,Licensing,196,FALSE,,
Air,Air,,FALSE,,,,Air,197,FALSE,,
Air.AirId,AirId,,TRUE,,GUID,,Air,198,FALSE,,
Air.Name,Name,,TRUE,,TEXT,50,Air,199,FALSE,,
Air.Description,Description,,TRUE,,TEXT,500,Air,200,FALSE,,
Traffic,Traffic,,FALSE,,,,Traffic,201,FALSE,,
Traffic.TrafficId,TrafficId,,TRUE,,GUID,,Traffic,202,FALSE,,
Traffic.Name,Name,,TRUE,,TEXT,50,Traffic,203,FALSE,,
Traffic.Description,Description,,TRUE,,TEXT,500,Traffic,204,FALSE,,
Voice,Voice,,FALSE,,,,Voice,209,FALSE,,
Voice.VoiceId,VoiceId,,TRUE,,GUID,,Voice,210,FALSE,,
Voice.Name,Name,,TRUE,,TEXT,50,Voice,211,FALSE,,
Voice.Description,Description,,TRUE,,TEXT,500,Voice,212,FALSE,,
Speech,Speech,,FALSE,,,,Speech,229,FALSE,,
Speech.SpeechId,SpeechId,,TRUE,,GUID,,Speech,230,FALSE,,
Speech.Name,Name,,TRUE,,TEXT,50,Speech,231,FALSE,,
Speech.Description,Description,,TRUE,,TEXT,500,Speech,232,FALSE,,
Pilot,Pilot,,FALSE,,,,Pilot,301,FALSE,,
Pilot.PilotId,PilotId,,TRUE,,GUID,,Pilot,302,FALSE,,
Pilot.Name,Name,,TRUE,,TEXT,50,Pilot,303,FALSE,,
Pilot.Description,Description,,TRUE,,TEXT,500,Pilot,304,FALSE,,
Aid,Aid,,FALSE,,,,Aid,309,FALSE,,
Aid.AidId,AidId,,TRUE,,GUID,,Aid,310,FALSE,,
Aid.Name,Name,,TRUE,,TEXT,50,Aid,311,FALSE,,
Aid.Description,Description,,TRUE,,TEXT,500,Aid,312,FALSE,,
VOR,VOR,,FALSE,,,,VOR,313,FALSE,,
VOR.VORId,VORId,,TRUE,,GUID,,VOR,314,FALSE,,
VOR.Name,Name,,TRUE,,TEXT,50,VOR,315,FALSE,,
VOR.Description,Description,,TRUE,,TEXT,500,VOR,316,FALSE,,
NDB,NDB,,FALSE,,,,NDB,317,FALSE,,
NDB.NDBId,NDBId,,TRUE,,GUID,,NDB,318,FALSE,,
NDB.Name,Name,,TRUE,,TEXT,50,NDB,319,FALSE,,
NDB.Description,Description,,TRUE,,TEXT,500,NDB,320,FALSE,,
Condition,Condition,,FALSE,,,,Condition,321,FALSE,,
Condition.ConditionId,ConditionId,,TRUE,,GUID,,Condition,322,FALSE,,
Condition.Name,Name,,TRUE,,TEXT,50,Condition,323,FALSE,,
Condition.Description,Description,,TRUE,,TEXT,500,Condition,324,FALSE,,
